id,rid,name,displayName,category,type,src,original_ext,folder,tags,colorName,colorHex,year,month
1,ELGK9C,WhatsApp Image 2025-09-06 at 13.16.28 (2),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.28 (2).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#8e8779,,
2,LB2B2Q,WhatsApp Image 2025-09-06 at 13.16.16 (2),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.16 (2).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#847f74,,
3,T0GWN7,WhatsApp Image 2025-09-06 at 13.16.17 (2),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.17 (2).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#a29f9a,,
4,SF93RH,WhatsApp Image 2025-09-06 at 13.16.22 (2),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.22 (2).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",بيج,#856f61,,
5,RPAJZW,WhatsApp Image 2025-09-06 at 13.16.23 (2),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.23 (2).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",بيج,#a18474,,
6,D8SMJH,WhatsApp Image 2025-09-06 at 13.16.27,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.27.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#9fa49a,,
7,P0N4W6,WhatsApp Image 2025-09-06 at 13.16.25 (3),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.25 (3).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#6c675e,,
8,ALDPX9,WhatsApp Image 2025-09-06 at 13.16.24 (3),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.24 (3).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#53565d,,
9,YRVUBD,WhatsApp Image 2025-09-06 at 13.16.26,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.26.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#8a8c81,,
10,UTK15N,WhatsApp Image 2025-09-06 at 13.16.16 (4),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.16 (4).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#9f9b9b,,
11,KCH9ST,WhatsApp Image 2025-09-06 at 13.16.17 (4),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.17 (4).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#9a8578,,
12,T5W4V3,WhatsApp Image 2025-09-06 at 13.16.22 (4),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.22 (4).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#b4afb2,,
13,O5QG8H,WhatsApp Image 2025-09-06 at 13.16.23 (4),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.23 (4).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#b1b3b6,,
14,G7T1BW,WhatsApp Image 2025-09-06 at 13.16.25 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.25 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#46474a,,
15,1K5S6S,WhatsApp Image 2025-09-06 at 13.16.24 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.24 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#a09f9d,,
16,5KOEI2,WhatsApp Image 2025-09-06 at 13.16.22 (3),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.22 (3).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#9c9284,,
17,IHAIVZ,WhatsApp Image 2025-09-06 at 13.16.23 (3),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.23 (3).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#a6a29e,,
18,OUO2ZF,WhatsApp Image 2025-09-06 at 13.16.16 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.16 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#817265,,
19,LXRHBE,WhatsApp Image 2025-09-06 at 13.16.17 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.17 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#676361,,
20,8J109G,WhatsApp Image 2025-09-06 at 13.16.28 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.28 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",ذهبي,#8b7c67,,
21,V6WJMY,WhatsApp Image 2025-09-06 at 13.16.21,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.21.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#958b7f,,
22,W9Y97B,WhatsApp Image 2025-09-06 at 13.16.25 (4),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.25 (4).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#2d2c2a,,
23,MQ3I8F,WhatsApp Image 2025-09-06 at 13.16.24 (4),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.24 (4).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#4a4849,,
24,7V1OIZ,WhatsApp Image 2025-09-06 at 13.16.17,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.17.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#9d918e,,
25,2IHI0P,WhatsApp Image 2025-09-06 at 13.16.22 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.22 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#79716f,,
26,UKXQXO,WhatsApp Image 2025-09-06 at 13.16.23 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.23 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#999888,,
27,HFQDWS,WhatsApp Image 2025-09-06 at 13.16.16 (3),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.16 (3).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#9a8a7d,,
28,7P9NJ1,WhatsApp Image 2025-09-06 at 13.16.17 (3),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.17 (3).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#817569,,
29,JUQH6W,WhatsApp Image 2025-09-06 at 13.16.16,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.16.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#8e857a,,
30,1O56GG,WhatsApp Image 2025-09-06 at 13.16.20,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.20.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",ذهبي,#9c8571,,
31,8XT1IQ,WhatsApp Image 2025-09-06 at 13.16.25 (2),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.25 (2).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#353636,,
